badge,https://stackoverflow.com,https://serverfault.com,https://superuser.com,https://meta.stackexchange.com,https://webapps.stackexchange.com,https://gaming.stackexchange.com,https://webmasters.stackexchange.com,https://cooking.stackexchange.com,https://gamedev.stackexchange.com,https://photo.stackexchange.com,https://stats.stackexchange.com,https://math.stackexchange.com,https://diy.stackexchange.com,https://gis.stackexchange.com,https://tex.stackexchange.com,https://askubuntu.com,https://money.stackexchange.com,https://english.stackexchange.com,https://stackapps.com,https://ux.stackexchange.com,https://unix.stackexchange.com,https://wordpress.stackexchange.com,https://cstheory.stackexchange.com,https://apple.stackexchange.com,https://rpg.stackexchange.com,https://bicycles.stackexchange.com,https://softwareengineering.stackexchange.com,https://electronics.stackexchange.com,https://android.stackexchange.com,https://boardgames.stackexchange.com,https://physics.stackexchange.com,https://homebrew.stackexchange.com,https://security.stackexchange.com,https://writing.stackexchange.com,https://video.stackexchange.com,https://graphicdesign.stackexchange.com,https://dba.stackexchange.com,https://scifi.stackexchange.com,https://codereview.stackexchange.com,https://codegolf.stackexchange.com,https://quant.stackexchange.com,https://pm.stackexchange.com,https://skeptics.stackexchange.com,https://fitness.stackexchange.com,https://drupal.stackexchange.com,https://mechanics.stackexchange.com,https://parenting.stackexchange.com,https://sharepoint.stackexchange.com,https://music.stackexchange.com,https://sqa.stackexchange.com,https://judaism.stackexchange.com,https://german.stackexchange.com,https://japanese.stackexchange.com,https://philosophy.stackexchange.com,https://gardening.stackexchange.com,https://travel.stackexchange.com,https://crypto.stackexchange.com,https://dsp.stackexchange.com,https://french.stackexchange.com,https://christianity.stackexchange.com,https://bitcoin.stackexchange.com,https://linguistics.stackexchange.com,https://hermeneutics.stackexchange.com,https://history.stackexchange.com,https://bricks.stackexchange.com,https://spanish.stackexchange.com,https://scicomp.stackexchange.com,https://movies.stackexchange.com,https://chinese.stackexchange.com,https://biology.stackexchange.com,https://poker.stackexchange.com,https://mathematica.stackexchange.com,https://psychology.stackexchange.com,https://outdoors.stackexchange.com,https://martialarts.stackexchange.com,https://sports.stackexchange.com,https://academia.stackexchange.com,https://cs.stackexchange.com,https://workplace.stackexchange.com,https://windowsphone.stackexchange.com,https://chemistry.stackexchange.com,https://chess.stackexchange.com,https://raspberrypi.stackexchange.com,https://russian.stackexchange.com,https://islam.stackexchange.com,https://salesforce.stackexchange.com,https://patents.stackexchange.com,https://genealogy.stackexchange.com,https://robotics.stackexchange.com,https://expressionengine.stackexchange.com,https://politics.stackexchange.com,https://anime.stackexchange.com,https://magento.stackexchange.com,https://ell.stackexchange.com,https://sustainability.stackexchange.com,https://tridion.stackexchange.com,https://reverseengineering.stackexchange.com,https://networkengineering.stackexchange.com,https://opendata.stackexchange.com,https://freelancing.stackexchange.com,https://blender.stackexchange.com,https://mathoverflow.net,https://space.stackexchange.com,https://sound.stackexchange.com,https://astronomy.stackexchange.com,https://tor.stackexchange.com,https://pets.stackexchange.com,https://ham.stackexchange.com,https://italian.stackexchange.com,https://pt.stackoverflow.com,https://aviation.stackexchange.com,https://ebooks.stackexchange.com,https://alcohol.stackexchange.com,https://softwarerecs.stackexchange.com,https://arduino.stackexchange.com,https://expatriates.stackexchange.com,https://matheducators.stackexchange.com,https://earthscience.stackexchange.com,https://joomla.stackexchange.com,https://datascience.stackexchange.com,https://puzzling.stackexchange.com,https://craftcms.stackexchange.com,https://buddhism.stackexchange.com,https://hinduism.stackexchange.com,https://communitybuilding.stackexchange.com,https://worldbuilding.stackexchange.com,https://ja.stackoverflow.com,https://emacs.stackexchange.com,https://hsm.stackexchange.com,https://economics.stackexchange.com,https://lifehacks.stackexchange.com,https://engineering.stackexchange.com,https://coffee.stackexchange.com,https://vi.stackexchange.com,https://musicfans.stackexchange.com,https://woodworking.stackexchange.com,https://civicrm.stackexchange.com,https://medicalsciences.stackexchange.com,https://ru.stackoverflow.com,https://rus.stackexchange.com,https://mythology.stackexchange.com,https://law.stackexchange.com,https://opensource.stackexchange.com,https://elementaryos.stackexchange.com,https://portuguese.stackexchange.com,https://computergraphics.stackexchange.com,https://hardwarerecs.stackexchange.com,https://es.stackoverflow.com,https://3dprinting.stackexchange.com,https://ethereum.stackexchange.com,https://latin.stackexchange.com,https://languagelearning.stackexchange.com,https://retrocomputing.stackexchange.com,https://crafts.stackexchange.com,https://korean.stackexchange.com,https://monero.stackexchange.com,https://ai.stackexchange.com,https://esperanto.stackexchange.com,https://sitecore.stackexchange.com,https://iot.stackexchange.com,https://literature.stackexchange.com,https://vegetarianism.stackexchange.com,https://ukrainian.stackexchange.com,https://devops.stackexchange.com,https://bioinformatics.stackexchange.com,https://cseducators.stackexchange.com,https://interpersonal.stackexchange.com,https://iota.stackexchange.com,https://stellar.stackexchange.com,https://conlang.stackexchange.com,https://quantumcomputing.stackexchange.com,https://eosio.stackexchange.com,https://tezos.stackexchange.com,https://or.stackexchange.com,https://drones.stackexchange.com,https://mattermodeling.stackexchange.com,https://cardano.stackexchange.com
altruist,222,81,56,64,181,181,48,48,48,48,48,48,48,48,48,48,32,32,66,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,48,48,48,48,48,32,48,48,32,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,32,48,32,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
benefactor,221,80,55,68,180,180,47,47,47,47,47,47,47,47,47,47,31,31,65,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,47,47,47,47,47,31,47,47,31,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,31,47,31,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
curious,4127,282,216,242,227,286,122,107,131,141,164,407,111,147,405,185,125,159,108,109,216,125,102,134,122,93,148,168,101,91,194,90,1149,92,83,105,132,122,132,91,84,91,96,105,128,89,95,98,104,92,135,97,101,95,98,1131,98,97,100,105,1101,90,93,96,87,90,94,95,89,93,88,144,94,90,87,91,120,118,111,87,90,91,89,89,92,100,88,88,87,93,88,89,95,109,87,97,90,95,87,87,101,200,92,90,87,87,95,88,87,102,91,87,87,90,87,88,88,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
inquisitive,4128,283,217,243,228,287,123,108,132,142,165,408,112,148,406,186,126,160,109,110,217,126,103,135,123,94,149,169,102,92,195,91,1150,93,84,106,133,123,133,92,85,92,97,106,129,90,96,99,105,93,136,98,102,96,99,1132,99,98,101,106,1102,91,94,97,88,91,95,96,90,94,89,145,95,91,88,92,121,119,112,88,91,92,90,90,93,101,89,89,88,94,89,90,96,110,88,98,91,96,88,88,102,201,93,91,88,88,96,89,88,103,92,88,88,91,88,89,89,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
socratic,4129,284,218,244,229,288,124,109,133,143,166,409,113,149,407,187,127,161,110,111,218,127,104,136,124,95,150,170,103,93,196,92,1151,94,85,107,134,124,134,93,86,93,98,107,130,91,97,100,106,94,137,99,103,97,100,1133,100,99,102,107,1103,92,95,98,89,92,96,97,91,95,90,146,96,92,89,93,122,120,113,89,92,93,91,91,94,102,90,90,89,95,90,91,97,111,89,99,92,97,89,89,103,202,94,92,89,89,97,90,89,104,93,89,89,92,89,90,90,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
favorite question,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,38,38,33,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,33,33,33,33,33,38,33,33,38,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,38,33,38,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
stellar question,36,36,34,34,36,36,36,36,36,36,36,36,36,36,36,36,51,51,34,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,36,36,36,36,36,51,36,36,51,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,51,36,51,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
investor,219,78,53,61,178,178,45,45,45,45,45,45,45,45,45,45,29,29,63,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,45,45,45,45,45,29,45,45,29,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,29,45,29,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
nice question,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,46,46,20,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,20,20,20,20,20,46,20,20,46,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,46,20,46,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
good question,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,41,41,21,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,21,21,21,21,21,41,21,21,41,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,41,21,41,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
